03-Aug-2021 20:28:52 Volt2 (V):  7.033853
03-Aug-2021 20:28:52 Curr1 (A):  0.4029469
03-Aug-2021 20:28:52 Curr2 (A):  0.1182431
03-Aug-2021 20:28:52 Time (Sec):  133
03-Aug-2021 20:28:59 Get IV Data
03-Aug-2021 20:28:59 Volt1 (V):  6.996859
03-Aug-2021 20:28:59 Volt2 (V):  7.033897
03-Aug-2021 20:28:59 Curr1 (A):  0.4377194
03-Aug-2021 20:28:59 Curr2 (A):  0.1190709
03-Aug-2021 20:28:59 Time (Sec):  140
03-Aug-2021 20:29:06 Get IV Data
03-Aug-2021 20:29:06 Volt1 (V):  6.996863
03-Aug-2021 20:29:06 Volt2 (V):  7.033721
03-Aug-2021 20:29:06 Curr1 (A):  0.434504
03-Aug-2021 20:29:06 Curr2 (A):  0.1179547
03-Aug-2021 20:29:06 Time (Sec):  147
03-Aug-2021 20:29:13 Get IV Data
